RSN,rank,131072,4096,157071125.0,908514.57,2
RSN,select,131072,4096,1446073245.0,983638.44,2
RSL,rank,131072,4096,2430.9,7.27,131072
RSL,select,131072,4096,309889.0,5113.72,1024
RSSE,rank,1,131072,4096,87626.8,177.19,4096
RSSE,select,1,131072,4096,220910.8,434.06,2048
RSSE,rank,2,131072,4096,115574.6,58.13,4096
RSSE,select,2,131072,4096,273283.3,130.84,1024
RSSE,rank,3,131072,4096,155502.7,526.04,2048
RSSE,select,3,131072,4096,326401.9,555.64,1024
RSSE,rank,4,131072,4096,153295.3,325.64,2048
RSSE,select,4,131072,4096,381643.8,603.16,1024
RSSE,rank,5,131072,4096,191766.7,573.83,2048
RSSE,select,5,131072,4096,435647.9,558.51,1024
RSSE,rank,6,131072,4096,207051.0,295.27,2048
RSSE,select,6,131072,4096,508422.0,1396.26,512
RSSE,rank,7,131072,4096,224847.4,425.76,2048
RSSE,select,7,131072,4096,557444.1,1329.32,512
RSSE,rank,8,131072,4096,225619.4,170.05,2048
RSSE,select,8,131072,4096,620414.4,1276.65,512
RSSE,rank,9,131072,4096,260306.4,677.01,1024
RSSE,select,9,131072,4096,682382.8,286.66,512
RSSE,rank,10,131072,4096,276713.6,280.03,1024
RSSE,select,10,131072,4096,718585.7,514.76,512

RSN,rank,262144,8192,8897.8,9.97,32768
RSN,select,262144,8192,5814601740.0,32426445.26,2
RSL,rank,262144,8192,4867.8,15.34,65536
RSL,select,262144,8192,567606.8,4257.07,512
RSSE,rank,1,262144,8192,176166.8,462.29,2048
RSSE,select,1,262144,8192,430950.7,366.27,1024
RSSE,rank,2,262144,8192,233862.3,924.93,2048
RSSE,select,2,262144,8192,540754.6,564.39,512
RSSE,rank,3,262144,8192,312575.8,924.31,1024
RSSE,select,3,262144,8192,626223.5,1566.75,512
RSSE,rank,4,262144,8192,305773.1,486.70,1024
RSSE,select,4,262144,8192,735438.2,763.53,512
RSSE,rank,5,262144,8192,384564.9,1117.79,1024
RSSE,select,5,262144,8192,844551.8,775.32,512
RSSE,rank,6,262144,8192,414856.0,11182.34,1024
RSSE,select,6,262144,8192,969764.4,610.08,512
RSSE,rank,7,262144,8192,452499.0,757.59,1024
RSSE,select,7,262144,8192,1067343.9,958.27,256
RSSE,rank,8,262144,8192,441593.8,761.56,1024
RSSE,select,8,262144,8192,1178045.1,1565.21,256
RSSE,rank,9,262144,8192,525247.6,12302.90,512
RSSE,select,9,262144,8192,1290013.1,1734.88,256
RSSE,rank,10,262144,8192,553350.2,2040.90,512
RSSE,select,10,262144,8192,1399275.2,486.90,256

RSN,rank,524288,16384,17782.5,39.99,16384
RSN,select,524288,16384,22965673045.0,203270859.21,2
RSL,rank,524288,16384,9696.0,5.24,32768
RSL,select,524288,16384,1291473.6,1771.93,256
RSSE,rank,1,524288,16384,368176.9,14883.76,1024
RSSE,select,1,524288,16384,934816.2,1061.48,512
RSSE,rank,2,524288,16384,474803.3,563.66,1024
RSSE,select,2,524288,16384,1059617.3,1727.24,256
RSSE,rank,3,524288,16384,646262.8,729.55,512
RSSE,select,3,524288,16384,1273695.7,1263.89,256
RSSE,rank,4,524288,16384,652679.5,1798.76,512
RSSE,select,4,524288,16384,1507776.3,1645.64,256
RSSE,rank,5,524288,16384,791756.8,2024.93,512
RSSE,select,5,524288,16384,1722495.2,1375.98,256
