RSN,rank,4096,128,135.0,0.36,2097152
RSN,bit_Rank,4096,128,2099.8,10.24,131072
RSL,rank,4096,128,80.5,0.35,4194304
RSSE,rank,4096,128,2932.6,6.21,131072

RSN,rank,8192,256,273.1,0.76,1048576
RSN,bit_Rank,8192,256,7533.1,24.15,65536
RSL,rank,8192,256,156.0,0.35,2097152
RSSE,rank,8192,256,5714.4,12.14,65536

RSN,rank,16384,512,538.4,2.01,524288
RSN,bit_Rank,16384,512,25636.1,35.43,16384
RSL,rank,16384,512,313.7,0.69,1048576
RSSE,rank,16384,512,10070.2,25.14,32768

RSN,rank,32768,1024,1068.5,3.20,262144
RSN,bit_Rank,32768,1024,91623.5,165.60,4096
RSL,rank,32768,1024,616.3,0.81,524288
RSSE,rank,32768,1024,20842.1,70.47,16384

RSN,rank,65536,2048,2231.9,5.33,131072
RSN,bit_Rank,65536,2048,346699.8,1215.59,1024
RSL,rank,65536,2048,1220.7,1.04,262144
RSSE,rank,65536,2048,43503.8,153.02,8192

RSN,rank,131072,4096,157045550.0,1020404.13,2
RSN,bit_Rank,131072,4096,1293577.0,3272.39,256
RSL,rank,131072,4096,2432.1,7.71,131072
RSSE,rank,131072,4096,76857.5,113.59,4096

RSN,rank,262144,8192,8906.1,19.96,32768
RSN,bit_Rank,262144,8192,5112803.1,8013.05,64
RSL,rank,262144,8192,4874.9,12.86,65536
RSSE,rank,262144,8192,175060.0,545.79,2048

RSN,rank,524288,16384,17802.9,50.02,16384
RSN,bit_Rank,524288,16384,20176401.9,53732.06,16
RSL,rank,524288,16384,9737.5,37.57,32768
RSSE,rank,524288,16384,366680.7,15984.12,1024

RSN,rank,1048576,32768,35550.5,114.78,8192
RSN,bit_Rank,1048576,32768,80952147.5,186124.49,4
RSL,rank,1048576,32768,19387.9,20.51,16384
RSSE,rank,1048576,32768,701094.5,1932.61,512

RSN,rank,2097152,65536,71246.2,220.21,4096
RSN,bit_Rank,2097152,65536,326097845.0,3107346.33,2
RSL,rank,2097152,65536,38768.1,29.11,8192
RSSE,rank,2097152,65536,1371496.0,3536.57,256

RSN,select,4096,128,131185.2,863.81,2048
RSN,bit_select,4096,128,188446.6,383.03,2048
RSL,select,4096,128,3531.7,22.06,131072
RSSE,select,4096,128,4880.3,9.30,65536

RSN,select,8192,256,1868417.2,6256.18,256
RSN,bit_select,8192,256,802679.4,1302.59,512
RSL,select,8192,256,8749.7,102.67,32768
RSSE,select,8192,256,9749.3,21.75,32768

RSN,select,16384,512,10403197.2,103035.83,32
RSN,bit_select,16384,512,3170501.3,5667.47,128
RSL,select,16384,512,42430.9,1201.38,8192
RSSE,select,16384,512,30013.7,80.74,16384

RSN,select,32768,1024,51716612.5,126762.15,8
RSN,bit_select,32768,1024,12182745.6,35593.91,32
RSL,select,32768,1024,113169.4,332.30,4096
RSSE,select,32768,1024,78124.1,206.83,4096

RSN,select,65536,2048,230925235.0,439019.34,2
RSN,bit_select,65536,2048,50254010.0,114349.65,8
RSL,select,65536,2048,239678.9,428.31,2048
RSSE,select,65536,2048,172578.1,309.04,2048

RSN,select,131072,4096,946253965.0,682274.37,2
RSN,bit_select,131072,4096,233224295.0,1924413.33,2
RSL,select,131072,4096,522343.4,17914.55,512
RSSE,select,131072,4096,364688.4,542.79,1024

RSN,select,262144,8192,3783070985.0,19223254.88,2
RSN,bit_select,262144,8192,969983180.0,3929903.99,2
RSL,select,262144,8192,972545.4,17481.35,512
RSSE,select,262144,8192,729083.2,1101.38,512

RSN,select,524288,16384,15293848930.0,68296547.21,2
RSN,bit_select,524288,16384,4099665490.0,48795215.47,2
RSL,select,524288,16384,2403830.4,63235.01,128
RSSE,select,524288,16384,1524286.6,2048.35,256
RSN,select,1048576,32768,61021334875.0,276169666.66,2
RSN,bit_select,1048576,32768,16538320500.0,185096928.22,2
RSL,select,1048576,32768,4879327.3,152508.12,64
RSSE,select,,1048576,32768,3008240.0,3556.63,128

RSN,select,2097152,65536,239387324570.0,397454673.07,2
RSN,bit_select,2097152,65536,66322166850.0,545512750.09,2
RSL,select,2097152,65536,10346634.1,191157.06,32
RSSE,select,,2097152,65536,6441834.4,19182.94,64

