# OS:   Windows 10; 10.0; amd64
# JVM:  Oracle Corporation; 1.8.0_181
# CPU:  Intel64 Family 6 Model 142 Stepping 10, GenuineIntel; 8 "cores"
# Date: 2019-12-15T19:53:26+0100
# JVM:  Oracle Corporation; 1.8.0_181
# CPU:  Intel64 Family 6 Model 142 Stepping 10, GenuineIntel; 8 "cores"
# Date: 2019-12-15T19:57:25+0100
SortedArray alpha = 0.75, 524288,     98744232.6,  305782.58,          4
SearchTree alpha = 0.75,  524288,     49098887.5,  194953.99,          8
OtherArray alpha = 0.75,  524288,     47564888.7,  121680.17,          8

# OS:   Windows 10; 10.0; amd64
# JVM:  Oracle Corporation; 1.8.0_181
# CPU:  Intel64 Family 6 Model 142 Stepping 10, GenuineIntel; 8 "cores"
# Date: 2019-12-15T19:57:45+0100
SortedArray alpha = 0.8,  524288,    108194202.5,  229839.17,          4
SearchTree alpha = 0.8,   524288,     49230796.3,  185402.90,          8
OtherArray alpha = 0.8,   524288,     48818163.7,  335776.90,          8

# OS:   Windows 10; 10.0; amd64
# JVM:  Oracle Corporation; 1.8.0_181
# CPU:  Intel64 Family 6 Model 142 Stepping 10, GenuineIntel; 8 "cores"
# Date: 2019-12-15T19:58:06+0100
SortedArray alpha = 0.85, 524288,    125332760.0,  711538.46,          2
SearchTree alpha = 0.85,  524288,     53288477.5,  332254.11,          8
OtherArray alpha = 0.85,  524288,     60104442.5, 15055511.27,          8

# OS:   Windows 10; 10.0; amd64
# JVM:  Oracle Corporation; 1.8.0_181
# CPU:  Intel64 Family 6 Model 142 Stepping 10, GenuineIntel; 8 "cores"
# Date: 2019-12-15T19:58:25+0100
SortedArray alpha = 0.9,  524288,    166283660.1, 1672328.33,          2
SearchTree alpha = 0.9,   524288,     75471785.0, 7601981.72,          4
OtherArray alpha = 0.9,   524288,     62196377.5, 1019404.96,          4

