array,p,queries,time,dceviation,iterations  
OtherArray,1,1048576,105191305,1034653.37,4
OtherArray,2,1048576,104255597.5,696414.38,4
OtherArray,3,1048576,101482225.0,247388.03,4
OtherArray,4,1048576,102119172.5,341081.12,4
OtherArray,5,1048576,102273616.3,1624998.41,4
OtherArray,6,1048576,101020075.0,335119.16,4
